date,population,software,n_jobs,free,exact,source
2019-01-06,indeed_raw_keyword,SQL,107130,TRUE,TRUE,"original course chart; raw Indeed keyword count"
2019-01-06,indeed_raw_keyword,Python,66976,TRUE,TRUE,"original course chart; raw Indeed keyword count"
2019-01-06,indeed_raw_keyword,R,48772,TRUE,TRUE,"original course chart; raw Indeed keyword count"
2019-01-06,indeed_raw_keyword,SAS,25644,FALSE,TRUE,"original course chart; raw Indeed keyword count"
2019-01-06,indeed_raw_keyword,MATLAB,11464,FALSE,TRUE,"original course chart; raw Indeed keyword count"
2019-01-06,indeed_raw_keyword,SPSS,3717,FALSE,TRUE,"original course chart; raw Indeed keyword count"
2019-01-06,indeed_raw_keyword,Stata,1624,FALSE,TRUE,"original course chart; raw Indeed keyword count"
2022-10-05,r4stats_data_scientist,SQL,164996,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1a"
2022-10-05,r4stats_data_scientist,Python,150992,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1a"
2022-10-05,r4stats_data_scientist,Java,113944,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1a"
2022-10-05,r4stats_data_scientist,C++/C#,48555,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1a"
2022-10-05,r4stats_data_scientist,Power BI,38125,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1a"
2022-10-05,r4stats_data_scientist,R,24000,TRUE,FALSE,"Muenchen Fig 1a; stated as 'around 24K', read off chart"
2022-10-05,r4stats_data_scientist,SAS,24000,FALSE,FALSE,"Muenchen Fig 1a; stated as 'around 24K', read off chart"
2022-10-05,r4stats_data_scientist,MATLAB,17736,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1a"
2022-10-05,r4stats_data_scientist,Scala,11473,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1a"
2022-10-05,r4stats_data_scientist,Alteryx,8566,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 1"
2022-10-05,r4stats_data_scientist,Databricks,6117,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1b"
2022-10-05,r4stats_data_scientist,Minitab,3874,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1b"
2022-10-05,r4stats_data_scientist,JMP,2693,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1b"
2022-10-05,r4stats_data_scientist,MLlib,274,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Fig 1b"
2022-10-05,r4stats_data_scientist,KNIME,281,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 1"
2022-10-05,r4stats_data_scientist,SAS Enterprise Miner,181,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 1"
2022-10-05,r4stats_data_scientist,WEKA,131,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/"
2022-10-05,r4stats_data_scientist,Theano,110,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/"
2022-10-05,r4stats_data_scientist,RapidMiner,69,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 1"
2022-10-05,r4stats_data_scientist,SPSS Modeler,17,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 1"
2022-10-05,r4stats_statistician,SAS,1040,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 2"
2022-10-05,r4stats_statistician,R,1012,TRUE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 2"
2022-10-05,r4stats_statistician,Stata,176,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 2"
2022-10-05,r4stats_statistician,SPSS,146,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 2"
2022-10-05,r4stats_statistician,JMP,93,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 2"
2022-10-05,r4stats_statistician,Minitab,55,FALSE,TRUE,"Muenchen, r4stats.com/articles/popularity/ Table 2"
